path,status,purpose_or_caveat
docs/records/sanity/documentation-review-2026-09-21.md,dated-record,"Preserve source, implementation or verification provenance; measurements apply to recorded date"
docs/records/sanity/service-content-ownership-audit-2026-09-21.md,dated-record,"Preserve source, implementation or verification provenance; measurements apply to recorded date"
docs/renaissance-case-carousel.md,current-reference,"Maintained orientation, design contract or task guide; runtime/configuration remains authoritative"
docs/renaissance-global-services-and-studio.md,current-reference,"Maintained orientation, design contract or task guide; runtime/configuration remains authoritative"
docs/renaissance-results-metrics-mapping.md,dated-record,Source/audit evidence; metric mapping path retained for generating script
docs/studiocustomize -tut.md,current-reference,"Maintained orientation, design contract or task guide; runtime/configuration remains authoritative"
docs/templates/README.md,template,"Blueprint for other projects, not current repository setup"
docs/templates/new-multisite-project.md,template,"Blueprint for other projects, not current repository setup"
docs/templates/single-site-to-multisite.md,template,"Blueprint for other projects, not current repository setup"
packages/pagebuilder-core/README.md,current-reference,"Maintained orientation, design contract or task guide; runtime/configuration remains authoritative"
